id;gadget;model;brand_name;serial_number;imei_number;state;profile_id
1;TABLET;moderator end-to-end;tan Credit Card Account RAM;withdrawal Rial Omani;Handmade Metal Soap;Incredible Fresh Pizza pixel Toys;1
2;TABLET;Communications Gorgeous Fresh Chair GB;Belgium;encompassing Incredible Metal Mouse;payment dedicated;National;2
3;OTHERS;multi-tasking olive;engage Movies District;French Southern Territories Customer;Idaho;mobile Cotton;3
4;TABLET;Optimization overriding;Salad;matrix web-readiness;Agent neural;Rustic Fantastic Rubber Table;4
5;TABLET;Missouri deposit;Vatu Practical Soft Shirt;Buckinghamshire Chair Berkshire;Dobra Wooden;vortals directional programming;5
6;PHONE;infrastructures Savings Account Intranet;Direct Berkshire sensor;payment Personal Loan Account;deposit magenta;action-items;6
7;TABLET;navigate Clothing;Tasty Cotton Car;Investment Account;Wooden Serbia;Practical Granite Car;7
8;OTHERS;Crossing;Intuitive deposit;Fish;withdrawal;payment drive;8
9;TABLET;Towels transmitting;Kentucky Passage;navigate Licensed Frozen Salad protocol;ROI Hat Fresh;vortals Forward;9
10;LAPTOP;Incredible;Savings Account;Lead Sports Tuna;virtual revolutionary;yellow Incredible Rubber Bacon;10
